Locality;Site;NR;YEAR;MONTH;Habitat;ART;VEKT;LENMM;LENCM;Kond;SEX;MATURITY;AGE;Measured Hg weight;Omregnfaktor;MHGWet1;MHGWet2;MHGDry;Log10MHGWet1;Log10MHGDry;FG;Bosmina;Daphnia;Holoped;Bythotrep;Polyph;Leptodora;CyclCop;CalCop;Acantocycl;Littorale småkreps;Linsekreps;Krystallkr;Muslingkr;Marflo;Asell;Damsnegl;Skivesnegl;Gjellesnegl;Ertemusl;Luftins;ChirPup;ChirLarv;VårflPup;VårflLMHus;VårflLUHus;Døgnfll;Steinfll;Muddfll;Stankelbl;Vannbiller;Vannmidd;FiskUid;9pigg;sik;lagesild;UidCoreg;abbor;gjedde;niøye;Annet;UidInsL;UidPlankt;Uid;Mageanmerkn;SIASample ;%C;%N;δ13C;δ15N;SIAanmerkn;Kolonne1
Vaggatem;TB;54;2018;9;1;2;266;268;26,8;1,381902029;1;2;13;Dry;0,21;282,4884778;0,282488478;1,345183228;2,451000738;0,128781444;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TB-54;45,89698697;14,6934202;-24,77091054;9,4245635;;
Vaggatem;TB;111;2018;9;;2;1,2;48;4,8;1,085069444;;1;0;Dry;0,21;30,4210936;0,030421094;0,14486235;1,483174822;-0,839044472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TB-111;46,28449153;13,8680339;-26,30841197;6,792804418;;
Vaggatem;TB;1048;2018;9;1;2;137;224;22,4;1,218923674;1;1;;Dry;0,21;96,96790375;0,096967904;0,461751923;1,986628007;-1,013371993;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TB-1048;46,14871287;14,89161716;-22,24570354;8,9317925;;
Vaggatem;RB;1001;2019;9;1;2;81,2;184;18,4;1,303474562;2;2;7;Wet;0,21;69,6;0,0696;0,331428571;1,84260924;-0,479610055;30;;;;;1;;;;;;9;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaggatem;RB;1002;2019;9;1;2;231;259;25,9;1,329574532;1;2;14;Wet;0,21;135,8;0,1358;0,646666667;2,13289977;-0,189319525;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;rest;;;;;;;
Vaggatem;RB;1003;2019;9;1;2;243;258;25,8;1,414969751;1;2;8;Wet;0,21;223,5;0,2235;1,064285714;2,349277527;0,027058233;20;;;;;;;;;;;5;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaggatem;RB;1004;2019;9;1;2;295;281;28,1;1,329545046;1;2;14;Wet;0,21;252,4;0,2524;1,201904762;2,402089351;0,079870056;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaggatem;RB;1005;2019;9;1;2;250;261;26,1;1,406107377;1;2;11;Wet;0,21;149,4;0,1494;0,711428571;2,174350597;-0,147868697;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;70;;;;;;;"70% abbor; 20 % nipiggastingsild";;;;;;;
Vaggatem;RB;1006;2019;9;1;2;376;301;30,1;1,378758993;1;2;12;Wet;0,21;163,7;0,1637;0,77952381;2,214048679;-0,108170615;50;;;;;;;;;;;;;;;5;;;;;;;;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaggatem;RB;1007;2019;9;1;2;232;270;27;1,178682111;1;2;11;Wet;0,21;221,7;0,2217;1,055714286;2,345765693;0,023546398;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaggatem;RB;1008;2019;9;1;2;240;264;26,4;1,304365974;1;2;12;Wet;0,21;133,8;0,1338;0,637142857;2,126456113;-0,195763181;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;abbor;;;;;;;
Vaggatem;RB;1009;2019;9;1;2;251;259;25,9;1,44468921;1;2;13;Wet;0,21;151;0,151;0,719047619;2,178976947;-0,143242347;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
